label	gender	profession	ideology_binary	ideology_multiclass	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
@user1	male	politician	left	moderate_left	0.20627455172229497	0.054648459421180615	0.20747708505919138	0.24283156516394536	0.22396515325619304	0.05184254830175569	0.46762513027444486	0.06632639427059672	0.13620694262579833	0.02204644450976724	0.0	0.6047673766067182	0.1305416744608642	0.056919911279762696	0.4192031212420833	0.06055423425349402	0.042943801608722375	0.04903663718233078	0.29686539643515675	0.03789316159375751
@user10	male	journalist	right	moderate_right	0.0	0.051441703856123566	0.08741081211084685	0.27457844525801023	0.33203281579861577	0.032254616391865526	0.0657384890836696	0.04580315865423158	0.11851634109190028	0.09264851286710671	0.04783410384543438	0.12827022260228216	0.031212420833221986	0.18000587905186927	0.21968947916945034	0.027097084524732102	0.17110713235883596	0.10079901659496004	0.029047860826808478	0.3225728868816975
@user100	female	politician	left	moderate_left	0.20766414580048637	0.1300339381630635	0.052617514229977826	0.06557815130541675	0.31412843056038053	0.11394671441169396	0.15913524491595626	0.2557387563133	0.10173432030143503	0.07127014243339302	0.08310841506106198	0.5168755511611127	0.11490874108121109	0.26939419042783463	0.2269848480799551	0.3037599209000294	0.0	0.09491996472568877	0.04986504903663719	0.09914219288634724
@user105	male	politician	left	moderate_left	0.32238582614040245	0.024264450442265037	0.0962026669517116	0.13569920632799765	0.0	0.18759520055583764	0.18513668795596055	0.025146308222655726	0.02661607118997355	0.16915635605675958	0.22546163918655301	0.20630127468533713	0.09235456027364315	0.09614922102562731	0.097779321771198	0.21998343176291385	0.08944175730204965	0.07637422837444215	0.6337617915074424	0.07503808022233505
@user106	male	politician	right	moderate_right	0.10261617808182572	0.1058496566099249	0.04925042088666791	0.1760241575585901	0.3451537906523075	0.17092007161754094	0.09304935731273883	0.1355923144758291	0.33481200395499855	0.14422383153844098	0.38390208706341356	0.1629566286309826	0.08455145506533764	0.10491435290344994	0.14777798562304587	0.025921274150877846	0.17289757088265947	0.04866251569974079	0.08366959728494697	0.1087624595815184
@user108	male	journalist	left	left	0.168862403463296	0.017316480051308092	0.19141658427086394	0.11237005959220758	0.6965340316934341	0.11616472034419176	0.149675315999038	0.11012533069666765	0.14940808636861655	0.06947970390956949	0.01833195264690949	0.13265278854119344	0.24333930146174607	0.0758932150396836	0.1465220063600652	0.04660484754549585	0.06381443574463537	0.025333368963950723	0.10761337217070628	0.097779321771198
@user109	male	politician	left	left	0.13952059004302397	0.06862456909222095	0.05069346089094358	0.10034472622324363	0.10592982549905133	0.6180754122017049	0.0	0.16600304641778682	0.1462013308035595	0.16148686566366477	0.15218727452499933	0.061943828331685415	0.33820582026135054	0.0733545335506801	0.16175409529408621	0.2885278319660084	0.07362176318110153	0.231474305871035	0.051441703856123566	0.02757809785949066
@user110	female	politician	left	moderate_left	0.10793404772721199	0.018786243018625904	0.20870634135912988	0.0	0.08567381951310762	0.018786243018625904	0.38518478928943645	0.17669223163464368	0.10659789957510489	0.23021832660805433	0.23772747922289625	0.02073701932070228	0.04580315865423158	0.1757034820020844	0.1809144597953021	0.5168488281980705	0.14879345821864728	0.06143609203388471	0.19454317094679457	0.08439111728708479
@user112	female	politician	right	moderate_right	0.16552203308302824	0.1941690494642046	0.11218299885091261	0.2079313754309078	0.10258945511878356	0.9587931909890169	0.44763635391892254	0.026776408968226396	0.0	0.13901285374522326	0.0746906817027872	0.1589481841746613	0.0	0.0704417305790866	0.027070361561689966	0.07575960022447288	0.025119585259613584	0.245958151839876	0.17054595013495097	0.04566954383902088
@user113	male	politician	right	right	0.2936853638331418	0.08102402394377489	0.22922957697549506	0.0	0.3691510114641512	0.24104112664012187	0.1507175115576815	0.31749552390369046	0.0	0.048929745330162214	0.045322145319473026	0.07070896020950804	0.044654071243419476	0.36613131664038906	0.20806499024611846	0.10961759439886694	0.08912108174554395	0.02260762673365223	0.043478260869565216	0.24291173405307184
