	Unnamed: 0	label	gender	profession	ideology_binary	ideology_multiclass	tweet	clean_data	lemmatized_data	lemmatized_nostw	emojis
0	36617	@user10	male	journalist	right	moderate_right	EE UU y China: Los dos grandes pelean, el mundo se resfría EE UU y China desenfundan la divisa como arma en un conflicto que ya no es solo comercial y para el que no hay visos de acuerdo. Se agravan así los temores a un frenazo de la economía global	ee uu y china  los dos grandes pelean  el mundo se resfría ee uu y china desenfundan la divisa como arma en un conflicto que ya no es solo com ial y para el que no hay visos de acuerdo  se agravan así los temores a un frenazo de la economía global	ee uu chino grande pelear mundo resfrir ee uu chino desenfundar divisa arma conflicto com ial viso acuerdo agravar asi temor frenazo economia global	ee uu chino grande pelear mundo resfrir ee uu chino desenfundar divisa arma conflicto ya no solo com ial no viso acuerdo agravar asi temor frenazo economia global	
1	11991	@user10	male	journalist	right	moderate_right	Sensación Previsible a esta hora: Alegría [POLITICAL_PARTY] Podemos [POLITICAL_PARTY] , preocupación en el [POLITICAL_PARTY] y más alegría q preocupación en [POLITICAL_PARTY]	sensación previsible a esta hora  alegría politicalparty politicalparty   preocupación en el politicalparty y más alegría q preocupación en politicalparty	sensacion previsible hora alegria politicalparty politicalparty preocupacion politicalparty alegria preocupacion politicalpar	sensacion previsible hora alegria politicalparty politicalparty preocupacion politicalparty mas alegria preocupacion politicalpar	
2	40804	@user10	male	journalist	right	moderate_right	No te salves. no te quedes inmóvil al borde del camino. no congeles el júbilo. no quieras con desgana;. no te salves ahora ni nunca,no te salves. No te llenes de calma. no reserves del mundo . solo un rincón tranquilo. no dejes caer los parpados. pesados como juicios. Mario Benedeti. BBNN	no te salves  no te quedes inmóvil al borde del camino  no congeles el júbilo  no quieras con desgana   no te salves ahora ni nunca no te salves  no te llenes de calma  no reserves del mundo   solo un rincón tranquilo  no dejes caer los parpados  pesados como juicios  mario benedeti  bbnn	salvar quedar inmovil borde camino congelar jubilo desgana salvar ahora nunca salvar llenar calma reservar mundo rincon tranquilo dejar caer parpado pesado juicio mario	no salvar no quedar inmovil borde camino no congelar jubilo no querer desgana no salvar ahora nunca no salvar no llenar calma no reservar mundo solo rincon tranquilo no dejar caer parpado pesado juicio mario	
3	48101	@user10	male	journalist	right	moderate_right	Al menos 25 militares venezolanos, todos de bajo rango, han solicitado asilo en la Embajada de Brasil en Caracas, según han confirmado fuentes de la Presidencia brasileña “ Son 25", han dicho y han explicado que ninguno de ellos es general o pertenece a la cúpula militar.	al menos militares venezolanos  todos de bajo rango  han solicitado asilo en la embajada de brasil en caracas  según han confirmado fuentes de la presidencia brasileña “ son    han dicho y han explicado que ninguno de ellos es general o pertenece a la cúpula militar 	menos militar venezolano bajo rango solicitar asilo embajada brasil caraca confirmar fuente presidencia brasileño explicar general pertenecer cupula militar	menos militar venezolano bajo rango solicitar asilo embajada brasil caraca confirmar fuente presidencia brasileño decir explicar general pertenecer cupula militar	
4	27627	@user10	male	journalist	right	moderate_right	Rivera que , con Sanchez ,da una mayoría absoluta de180. Diputados dice q no quiere ningún tipo de acuerdo y que quiere liderar la oposición	que   con  da una mayoría absoluta de   diputados dice q no quiere ningún tipo de acuerdo y que quiere liderar la oposición	mayoria absoluto diputado tipo acuerdo liderar oposicion	dar mayoria absoluto diputado decir q no querer tipo acuerdo querer liderar oposicion	
5	45149	@user10	male	journalist	right	moderate_right	Pablo Iglesias que , en este momentos,está hablando con el Rey en el turno de consultas para el nombramiento de un candidato a la Presidencia del Gobierno ,le transmitirá que la única forma de estabilidad es una Coalición con Podemos.Con Ciudadanos , le dirá , sería un fraude	que   en este momentos está hablando con el rey en el turno de consultas para el nombramiento de un candidato a la presidencia del gobierno  le transmitirá que la única forma de estabilidad es una coalición con  con   le dirá   sería un fraude	momento hablar rey turno consulta nombramiento candidato presidencia gobierno transmitir unico forma estabilidad coalicion fraude	momento hablar rey turno consulta nombramiento candidato presidencia gobierno transmitir unico forma estabilidad coalicion .con decir fraude	
6	26192	@user10	male	journalist	right	moderate_right	El Presidente del Gobierno en funciones, Pedro Sánchez, se reunirá el martes, 11 de junio, en el Congreso con los líderes de [POLITICAL_PARTY],Ciudadanos y [POLITICAL_PARTY], por este orden,en la ronda de contactos para la investidura Estos tres partidos son los q pueden facilitarla o bloquearla	el presidente del gobierno en funciones    se reunirá el martes  de junio  en el congreso con los líderes de politicalparty  y politicalparty  por este orden en la ronda de contactos para la investidura estos tres partidos son los q pueden facilitarla o bloquearla	presidente gobierno funcion reunir martes junio congreso lider politicalpar politicalpar orden ronda contacto investidura partido facilitar bloquear	presidente gobierno funcion reunir martes junio congreso lider politicalpar politicalpar orden ronda contacto investidura partido q facilitar bloquear	
7	13931	@user10	male	journalist	right	moderate_right	El [POLITICAL_PARTY] supera el 40% en intención directa de voto, seguido del [POLITICAL_PARTY], con el 13,7%, según el CIS Los [POLITICAL_PARTY] subirían casi 12 puntos respecto al 28-A; Podemos lograría el 13,1% de los votos, [POLITICAL_PARTY] el 12,3% y [POLITICAL_PARTY] el 4,6%	el politicalparty supera el   en intención directa de voto  seguido del politicalparty  con el      según el cis los politicalparty subirían casi puntos respecto al  a  lograría el     de los votos  politicalparty el     y politicalparty el    	politicalparty superar intencion directo voto seguido politicalparty cis politicalparty subir casi punto respecto lograr voto politicalpar politicalpar	politicalparty superar intencion directo voto seguido politicalparty cis politicalparty subir casi punto respecto lograr voto politicalpar politicalpar	
8	40666	@user10	male	journalist	right	moderate_right	Trump quiere comprar Groenlandia a Dinamarca y los políticos daneses se mofan Si es cierto que está pensando en eso, es una muestra definitiva de que se ha vuelto loco", ha respondido Søren Espersen, portavoz en Asuntos Exteriores del [POLITICAL_PARTY] Danés	trump quiere comprar groenlandia a dinamarca y los políticos daneses se mofan si es cierto que está pensando en eso  es una muestra definitiva de que se ha vuelto loco   ha respondido søren espersen  portavoz en asuntos exteriores del politicalparty danés	comprar groenlandia dinamarca politico danes mofar cierto pensar muestra definitivo volver loco responder soren espersen portavoz asunto exterior politicalparty danes	querer comprar groenlandia dinamarca politico danes mofar cierto pensar muestra definitivo volver loco. responder soren espersen portavoz asunto exterior politicalparty danes	
9	672	@user10	male	journalist	right	moderate_right	Al menos un muerto y tres heridos en una sinAgoga de San Diego California. .Un hombre blanco adulto entró al templo y con un arma tipo AR comenzó a disparar contra los asistentes gente. Una persona fue detenida y esta siendo interrogada	al menos un muerto y tres heridos en una sinagoga de san diego california   un hombre blanco adulto entró al templo y con un arma tipo ar comenzó a disparar contra los asistentes gente  una persona fue detenida y esta siendo interrogada	menos muerto herido sinagoga san diego californio hombre blanco adulto entrar templo arma tipo comenzar disparar asistente gente persona detener interrogar	menos muerto herido sinagoga san diego californio hombre blanco adulto entrar templo arma tipo comenzar disparar asistente gente persona detener interrogar	
