label	1	2	3	4	5	6	7	8	9	10	11	12	13
@user1	1.9089	2.6424	1.0496	0.1497	0.004428913738019169	0.0014624600638977637	0.0018178913738019168	0.0033288072417465386	0.0005716187433439829	0.01215335463258786	0.003834664536741214	0.0002939297124600639	0.001691693290734824
@user10	2.9199	4.2177	0.4674	0.3419	0.0011698615548455804	0.00231975505857295	0.00028008519701810437	0.0022731629392971245	0.004011182108626198	0.0013724707135250268	0.005079605963791267	0.0033964323748668797	0.0012665069222577209
@user100	1.5527	0.6812	0.9215	0.821	0.0003541001064962726	0.006472310969116081	0.005788072417465389	0.0007292332268370607	0.0032042066027689027	0.00744542066027689	0.005378860489882854	0.002057507987220447	0.0010141107561235357
@user105	2.8773	0.4649	1.8022	0.3574	0.00739430244941427	0.0013157614483493077	0.006654685835995739	0.0020846645367412144	0.003866879659211928	0.002268104366347178	0.0007973908413205536	0.0	0.00033280085197018105
@user106	1.5727	1.3281	1.0815	1.574	0.0009270500532481364	0.004151490947816826	0.0005945154419595315	0.0065649627263045796	0.0023048455804046855	0.0010053248136315228	0.003458466453674121	0.0015218317358892438	0.0028703407880724175
@user108	1.1673	2.2044	1.3074	0.8548	0.0012585197018104366	0.002867944621938232	0.0021147497337593185	0.002000266240681576	0.00023775292864749734	0.0024515441959531417	0.006937699680511182	0.0035343450479233232	0.0009643237486687964
@user109	0.9687	0.20779999999999998	3.7876	1.9826	0.001278221512247071	0.0018588924387646433	0.003517039403620873	0.0006200745473908413	0.0021437699680511182	0.002099041533546326	0.0026355165069222577	0.005256656017039404	0.0016924920127795527
@user110	0.759	1.2145	0.3502	1.6531	0.001753993610223642	0.002810170394036209	0.0070055910543130985	0.0017193823216187433	0.005474707135250267	0.003965388711395101	0.0023825878594249204	0.0025197018104366345	0.0006150159744408945
@user112	2.235	0.49319999999999997	6.3486	0.308	0.0010231629392971247	0.0	0.003027689030883919	0.001533280085197018	0.0030103833865814697	0.005832268370607028	0.0019712460063897766	0.0031056975505857295	0.00029898828541001065
@user113	0.7336	1.7590999999999999	0.9085	0.8819	0.0005966453674121406	0.013517039403620874	0.0025042598509052182	0.001057241746538871	0.0020889243876464326	0.001730298189563365	0.004668796592119276	0.0023391906283280087	0.0015939829605963792
@user114	1.5826	1.444	0.47919999999999996	0.34659999999999996	0.004361022364217252	0.0016600106496272634	0.0021813099041533544	0.004873003194888179	0.003349041533546326	0.0012521299254526091	0.007420127795527157	0.0021693290734824283	0.0019164004259850907
@user117	0.6023	3.5389	2.6872	0.9273	0.006124068157614484	0.0032697018104366348	0.0028194888178913733	0.003672257720979766	0.0007156549520766773	0.001813897763578275	0.0002723642172523962	0.0015130457933972311	0.002105165069222577
@user118	3.9327	0.622	0.4973	0.0946	0.007288604898828542	0.001437433439829606	0.0042859424920127795	0.011349307774227902	0.0016067625133120342	0.0021339190628328008	0.00042279020234291796	0.0009424920127795527	0.0009723109691160809
@user12	1.0085	1.4766	1.2879	0.6904	0.0012670394036208732	0.003953940362087327	0.009897231096911608	0.0014986687965921192	0.0012100638977635783	0.007993077742279019	0.0024052183173588924	0.0012968583599574017	0.001176251331203408
@user120	0.7924	0.6892	1.4823	0.8334	0.0008397231096911609	0.011257188498402557	0.0027734291799787008	0.0016091586794462194	0.004836261980830672	0.002138977635782748	0.006475505857294994	0.0010066560170394036	0.0
@user122	0.2008	0.1008	0.1008	0.423	0.0	0.0	0.00026837060702875396	0.021468849840255592	0.007569222577209798	0.0	0.004755324813631523	0.002397231096911608	0.0013961661341853034
@user124	1.2961	0.2824	0.3065	0.7026	0.0011738551650692225	0.00373828541001065	0.002332002129925452	0.004267039403620873	0.003529552715654952	0.0019177316293929711	0.003411874334398296	0.012489882854100107	0.0006054313099041534
@user125	2.0355	0.5737	0.49870000000000003	3.4493	0.002555644302449414	0.0014265175718849842	0.0	0.005636581469648561	0.0017292332268370606	0.001380724174653887	0.001032747603833866	0.008969914802981897	0.001608359957401491
@user126	0.8265	0.8032	0.7545	1.3333	0.000496272630457934	0.0009046858359957401	0.0011645367412140574	0.005431043663471778	0.0033367944621938233	0.003748136315228967	0.0024621938232161876	0.002160010649627263	0.0020985090521831737
@user127	1.8941999999999999	0.7067	1.7949	0.8956	0.005468849840255591	0.002703674121405751	0.006820820021299254	0.0018636847710330137	0.002882321618743344	0.005685835995740149	0.0005577742279020235	0.00034398296059637913	0.0021935569755058572
@user128	0.24819999999999998	0.5418000000000001	5.5387	0.42279999999999995	0.0065274227902023425	0.0006610756123535676	0.0017225772097976572	0.007099574014909477	0.0010087859424920127	0.0021222044728434505	0.0008330670926517571	0.0031128860489882857	0.002245207667731629
@user129	1.6004	1.1945999999999999	1.5009000000000001	0.3397	0.0012255058572949945	0.0027276357827476037	0.0016056975505857295	0.007142438764643239	0.0026392438764643237	0.0011530883919062833	0.004096911608093717	0.001468849840255591	0.003883919062832801
@user13	0.2238	0.5767	0.8068	1.8736	0.0017561235356762512	0.0027965921192758254	0.005585463258785943	0.004019968051118211	0.0021067625133120342	0.005377795527156549	0.0034459531416400424	0.004374600638977636	0.0008650159744408946
@user130	0.9440999999999999	1.7832	3.2862	0.5353	0.0028365282215122474	0.002641373801916933	0.000656283280085197	0.0034076144834930774	0.002955537806176784	0.0018735356762513314	0.0011458998935037275	0.0068365282215122475	0.0033892438764643235
@user134	1.0374999999999999	1.8986	2.9441	0.3322	0.0006735889243876464	0.00772790202342918	0.0027087326943556977	0.0009858892438764644	0.0018759318423855165	0.000966719914802982	0.006734558040468583	0.0022702342917997873	0.0015782747603833866
@user135	1.8151000000000002	2.1532	2.1355	1.1895	0.006382321618743345	0.0018716719914802981	0.0015354100106496273	0.003446751863684771	0.0015716187433439833	0.001935569755058573	0.002196485623003195	0.0003855165069222578	0.0005599041533546326
@user136	0.6863	2.2842	2.8606	1.3451	0.000281150159744409	0.003256123535676251	0.0019089456869009584	0.004937965921192758	0.004115548455804047	0.0029456869009584666	0.0022864749733759317	0.0009534078807241746	0.0011613418530351438
@user137	0.4421	0.0	0.36019999999999996	0.19240000000000002	0.008701810436634717	0.0024113418530351434	0.0028391906283280082	0.003968051118210862	0.0029592651757188496	0.009958466453674122	0.0002779552715654952	0.005320021299254526	0.0016794462193823218
@user138	1.3299	1.4685	0.4613	1.2851	0.0004249201277955271	0.0037720979765708197	0.008171458998935037	0.0013969648562300319	0.006592385516506922	0.0036192758253461126	0.005657614483493078	0.0	0.0005335463258785943
@user141	2.073	1.4777	4.4214	0.3051	0.005584398296059639	0.0023301384451544192	0.0018144302449414269	0.0007183173588924387	0.0009864217252396165	0.0015082534611288606	0.0019249201277955273	0.003590521831735889	0.0012563897763578273
@user142	0.1171	0.0991	1.8723	0.0	0.005810170394036209	0.0010732161874334397	0.0010777422790202342	0.02802209797657082	0.0020412673056443027	0.000966986155484558	0.0006557507987220446	0.00031363152289669863	0.0006996805111821087
@user143	0.3406	1.7285	1.6395	1.5675999999999999	0.0019052183173588924	0.0027342917997870073	0.002559904153354633	0.003219382321618743	0.004254526091586794	0.002878594249201278	0.0057699680511182115	0.002064962726304579	0.0003559637912673057
@user144	1.3126	2.9596	0.5672	1.3242	0.002994142705005325	0.007388977635782748	0.0014659211927582534	0.00028940362087326944	0.002112353567625133	0.005008253461128861	0.0018719382321618742	0.0023208200212992544	0.0009568690095846645
@user145	1.0182	1.7484	0.6996	0.3771	0.0017135250266240682	0.0010348775292864751	0.0031171458998935043	0.006874866879659211	0.0035798722044728436	0.015251331203407879	0.0015630990415335462	0.0	0.00029419595314164
@user146	1.8157	0.5871999999999999	1.95	0.5225	0.0042875399361022365	0.00028008519701810437	0.0009049520766773162	0.0035119808306709266	0.00030883919062832805	0.014190894568690096	0.00229419595314164	0.0021514909478168266	0.0008599574014909478
